NR;SYMBOL;ISIN;Company Common Name; Company Market Capitalization ;TRBC Economic Sector Name;TRBC Economic Sector Code;Country ISO Code of Headquarters;Ccy
927;2801.T;JP3240400006;Kikkoman Corp; 10’392’252’165.97 ;Consumer Non-Cyclicals;54;JP;JPY
928;HWM.N;US4432011082;Howmet Aerospace Inc; 6’245’407’512.83 ;Industrials;52;US;USD
929;7272.T;JP3942800008;Yamaha Motor Co Ltd; 6’851’661’379.39 ;Consumer Cyclicals;53;JP;JPY
930;CBKG.DE;DE000CBK1001;Commerzbank AG; 8’282’405’907.19 ;Financials;55;DE;EUR
931;NXT.L;GB0032089863;Next PLC; 6’874’824’206.05 ;Consumer Cyclicals;53;GB;GBp
932;9007.T;JP3196000008;Odakyu Electric Railway Co Ltd; 8’077’806’838.28 ;Industrials;52;JP;JPY
933;HNRGn.DE;DE0008402215;Hannover Rueck SE; 16’232’611’726.27 ;Financials;55;DE;EUR
934;SGRO.L;GB00B5ZN1N88;SEGRO PLC; 7’610’191’938.99 ;Real Estate;60;GB;GBp
935;0023.HK;HK0023000190;Bank of East Asia Ltd; 8’472’145’048.76 ;Financials;55;HK;HKD
936;NNN.N;US6374171063;NNN REIT Inc; 7’719’928’697.25 ;Real Estate;60;US;USD
937;MNDI.L;GB00BMWC6P49;Mondi PLC; 6’953’014’609.23 ;Basic Materials;51;GB;GBp
938;8473.T;JP3436120004;SBI Holdings Inc; 4’632’008’457.16 ;Financials;55;JP;JPY
939;5233.T;JP3449020001;Taiheiyo Cement Corp; 3’914’758’242.43 ;Basic Materials;51;JP;JPY
940;7752.T;JP3973400009;Ricoh Co Ltd; 7’276’168’220.62 ;Technology;57;JP;JPY
941;QGEN.N;NL0015002CX3;Qiagen NV; 7’401’085’549.55 ;Healthcare;56;NL;USD
942;8601.T;JP3502200003;Daiwa Securities Group Inc; 8’578’579’942.82 ;Financials;55;JP;JPY
943;4021.T;JP3670800006;Nissan Chemical Corp; 7’783’783’783.78 ;Basic Materials;51;JP;JPY
944;DOL.TO;CA25675T1075;Dollarama Inc; 7’617’965’586.20 ;Consumer Cyclicals;53;CA;CAD
945;WPM.TO;CA9628791027;Wheaton Precious Metals Corp; 8’676’621’111.06 ;Basic Materials;51;CA;CAD
946;PVH.N;US6936561009;PVH Corp; 7’039’588’884.90 ;Consumer Cyclicals;53;US;USD
947;SMIN.L;GB00B1WY2338;Smiths Group PLC; 6’889’575’519.21 ;Consumer Non-Cyclicals;54;GB;GBp
948;XPO.N;US9837931008;XPO Inc; 2’502’956’361.60 ;Industrials;52;US;USD
949;0101.HK;HK0101000591;Hang Lung Properties Ltd; 8’568’724’070.28 ;Real Estate;60;HK;HKD
950;LOIM.PA;FR0000121964;Klepierre SA; 8’884’956’563.10 ;Real Estate;60;FR;EUR
951;UNM.N;US91529Y1064;Unum Group; 6’426’830’724.34 ;Financials;55;US;USD
952;ELUXb.ST;SE0016589188;Electrolux AB; 5’015’329’705.10 ;Consumer Cyclicals;53;SE;SEK
953;KGF.L;GB0033195214;Kingfisher PLC; 5’590’356’265.53 ;Consumer Cyclicals;53;GB;GBp
954;6988.T;JP3684000007;Nitto Denko Corp; 8’735’198’316.74 ;Basic Materials;51;JP;JPY
955;CGNX.OQ;US1924221039;Cognex Corp; 6’484’003’959.27 ;Industrials;52;US;USD
956;0288.HK;KYG960071028;WH Group Ltd; 10’606’886’738.78 ;Consumer Non-Cyclicals;54;HK;HKD
957;BIRG.I;IE00BD1RP616;Bank of Ireland Group PLC; 6’013’257’131.30 ;Financials;55;IE;EUR
958;LISP.S;CH0010570767;Chocoladefabriken Lindt & Spruengli AG; 16’781’855’299.26 ;Consumer Non-Cyclicals;54;CH;CHF
959;AFG.N;US0259321042;American Financial Group Inc; 5’184’891’444.18 ;Financials;55;US;USD
960;PSN.L;GB0006825383;Persimmon PLC; 7’818’682’932.72 ;Consumer Cyclicals;53;GB;GBp
961;GAP.N;US3647601083;Gap Inc; 9’825’742’364.48 ;Consumer Cyclicals;53;US;USD
962;OMVV.VI;AT0000743059;OMV AG; 14’315’819’228.24 ;Energy;50;AT;EUR
963;HOG.N;US4128221086;Harley-Davidson Inc; 5’555’853’430.00 ;Consumer Cyclicals;53;US;USD
964;NICE.TA;IL0002730112;Nice Ltd; 6’658’963’170.55 ;Technology;57;IL;ILa
965;KSP.I;IE0004927939;Kingspan Group PLC; 7’733’349’802.02 ;Consumer Cyclicals;53;IE;EUR
966;PHM.N;US7458671010;Pultegroup Inc; 7’299’586’018.68 ;Consumer Cyclicals;53;US;USD
967;GPT.AX;AU000000GPT8;GPT Group; 6’793’911’686.43 ;Real Estate;60;AU;AUD
968;8015.T;JP3635000007;Toyota Tsusho Corp; 10’420’027’621.14 ;Industrials;52;JP;JPY
969;0012.HK;HK0012000102;Henderson Land Development Co Ltd; 21’917’792’597.31 ;Real Estate;60;HK;HKD
